OBU_ID,DESTINATION_LINK_ID,ORIGIN_LINK_ID,CONDITION
34301,1087567,8900294,4
34301,1090605,8900517,4
34301,8900864,8900864,2
34301,1095584,8227400,1
34301,8106392,1070466,1
34301,8900516,8898385,4
34301,1084190,8369310,4
34301,1045089,5102956,4
34301,8894456,1088032,4
34301,8894762,8899413,4
34301,8899413,1091610,3
34301,8899412,8103435,4
34301,8898900,1094145,4
34301,1059098,8895895,4
34301,1071589,1060576,4
34301,1060500,1071694,3
34301,1061008,8898062,4
34301,8896150,8896149,1
34301,1041919,8892568,4
34301,1048296,1095117,4
34301,8895353,8895352,2
34301,8893601,8893600,1
34301,8895311,8895311,2
34301,1095117,8894438,4
34301,8256500,8896434,4
34301,1037367,1037474,2
34301,8894626,1090453,1
34301,1080395,1080389,2
34301,1013748,1013806,3
34301,8891853,8891853,1
34301,8893252,1052183,4
34301,1073629,1011273,4
34301,1011060,1038829,4
34301,1011516,1059594,4
34301,8296910,1085477,4
34301,1068700,1068701,1
34301,1068996,1010566,4
34301,1077611,1059004,4
34301,1068060,1068060,3
34301,1095795,1095796,2
34301,1068058,1068060,2
34301,1095795,1095796,2
34301,1068058,1068060,2
34301,1095795,1095796,2
34301,1068058,1068060,2
34301,1095795,5104351,2
34301,1068058,1068058,1
34301,8895231,8895231,1
34301,8892491,8892491,1
34301,8892492,8892492,2
34301,8107093,8107093,1
34301,1094146,1082870,4
34301,7107515,8893713,4
34301,8894434,8369310,4
34301,1045089,8106837,4
34301,1058613,1080358,4
34301,8899182,8572036,4
34301,8104485,1016504,4
34301,8897674,8898385,4
34301,1084190,8101891,4
34301,7107125,7107122,2
34301,8572030,1084331,2
34301,8899588,8899588,2
34301,8891183,8898300,4
34301,1015734,1066881,4
34301,8896274,1085477,4
34301,1068700,1068701,1
34301,1068996,8900517,4
34301,1085507,1016225,2
34301,1016211,1016287,2
34301,1016425,1016375,1
34301,8897456,1015999,2
34301,8900516,8900516,2
34301,1070916,1070984,2
34301,1042480,1070857,2
34301,8618100,8618200,1
34301,8900516,8900615,4
34301,1092641,1083054,4
34301,1013242,1015988,1
34301,8896168,1085520,4
34301,1089131,8890903,4
34301,1079562,8893883,4
34301,1039268,1039268,1
34301,8893884,1093591,4
34301,8892948,8900517,4
34301,1082022,1041131,4
34301,1041131,8898057,4
34301,1090332,1073778,2
34301,8898706,1090333,4
34301,1073732,8897220,4
34301,8895792,1059594,4
34301,8296910,1047298,4
34301,1074576,1087719,3
34301,1090357,8273600,2
34301,1074609,8894848,2
34301,1047297,1069519,4
34301,1048686,1013022,4
34301,1083170,8898527,4
34301,1052579,1052580,2
34301,1073137,1073144,2
34301,1073144,1073141,1
34301,8571916,8571917,2
34301,1050413,1050413,2
34301,1050408,1066901,1
34301,1066988,1036028,4
34301,8104350,1086082,4
34301,8894383,8894382,2
34301,8894382,8898385,4
34301,1084190,1052598,4
34301,8894550,8191210,4
34301,8891061,1012380,3
34301,1068640,1055045,4
34301,8892601,8892600,2
34301,1055044,1055045,2
34301,8892601,8892600,3
34301,5104167,5104164,2
34301,1092989,1092989,3
34301,1055044,1067813,4
34301,7108596,1083948,4
34301,8102339,1088143,2
34301,8894570,8894571,2
34301,8893795,1082870,4
34301,1016212,8101371,4
34301,1038472,1090453,4
34301,7104898,1092684,4
34301,1031546,1083153,4
34301,1089375,8107063,4
34301,1073393,7105000,4
34301,8107093,8102074,1
34301,8898873,8894548,4
34301,8102237,8893852,4
34301,1036100,1036100,2
34301,1093358,1064959,1
34301,1088883,1037171,4
34301,1035301,1090894,4
34301,1076341,1035668,4
34301,8893070,8893070,2
34301,1094167,1094168,2
34301,8898385,8898385,1
34301,8101427,8101428,2
34301,8101426,1038550,3
34301,8893449,8892128,3
34301,8107658,8107658,3
34301,1084075,1084078,3
34301,1065081,8900421,4
34301,5102066,1090075,1
34301,8894144,8896915,4
34301,1067370,1095638,4
34301,1095638,1095637,2
34301,1095637,1095638,3
34301,1095638,1095637,3
34301,1095637,1095638,1
34301,1095638,1095638,3
34301,1095638,1095638,3
34301,1095638,1095637,2
34301,1095637,1095638,3
34301,1095638,1095638,3
34301,1095638,1095637,2
34301,1095637,1043944,4
34301,8895817,1029775,4
34301,8897465,8900517,4
34301,1064946,1064946,2
34301,8897258,8897258,1
34301,8289600,1041539,1
34301,1088979,1088979,1
34301,8894149,8894150,2
34301,8900517,8107276,4
34301,8895716,8895716,2
34301,1023745,1047773,4
34301,1047306,1047305,3
34301,1047297,7108678,4
34301,8898574,1032836,4
34301,1096979,8898385,4
34301,1084190,1077660,4
34301,8142410,8142400,2
34301,8142400,1024501,4
34301,8893500,8893499,1
34301,1077649,1018621,4
34301,1018618,7105593,4
34301,1077001,8897642,4
34301,1085813,1072782,3
34301,1072493,8896141,4
34301,1073072,8897346,4
34301,8895130,8570813,4
34301,1029634,1072504,4
34301,8894270,8891923,3
34301,1092032,8888111,3
34301,8888133,1093624,3
34301,1031339,1031339,2
34301,1072963,1072918,3
34301,1072930,1072945,2
34301,1072912,1072904,2
34301,1072974,1072974,2
34301,1031312,1031312,2
34301,1072486,8896012,4
34301,1067850,1095167,4
34301,8898042,8894313,4
34301,1002279,1002258,3
34301,1002253,1002253,2
34301,8894382,1064663,4
34301,1090813,8571602,4
34301,1096979,1096980,2
34301,1025761,8892162,4
34301,1088498,1001401,4
34301,1005202,1005221,2
34301,1001402,1085945,4
34301,1080221,1094738,4
34301,1079969,1082872,4
34301,1013102,1013102,2
34301,1083073,1083107,2
34301,8893918,1028467,3
34301,1091949,1091949,2
34301,8893916,8893917,1
34301,8899181,8899181,2
34301,1083161,1083215,1
34301,1013016,8893395,4
34301,1001329,1069139,4
34301,1090301,1062503,4
34301,8891997,8891998,3
34301,1079984,1079948,2
34301,8899293,8899293,3
34301,8899293,8899294,2
34301,1079982,1079949,1
34301,1012756,1011266,4
34301,8890973,1028925,4
34301,1028925,8571510,1
34301,1079994,1079994,1
34301,8891866,1031567,1
34301,1063216,8892455,4
34301,8223310,8223210,2
34301,8895878,8339000,2
34301,8895817,1049286,3
34301,8629901,8630211,3
34301,1044959,1044959,1
34301,8892365,8892365,2
34301,1001858,1001861,2
34301,1021474,1079366,4
34301,8895149,5102365,4
34301,1038990,8898694,2
34301,5102364,5102365,2
34301,1031953,1031953,2
34301,1031850,1031851,2
34301,1030554,1030554,2
34301,1030554,5102365,2
34301,1031953,1031954,3
34301,5102364,1088287,4
34301,1061825,8891182,4
34301,1010950,1089735,3
34301,1068779,1011943,4
