OBU_ID,DESTINATION_LINK_ID,ORIGIN_LINK_ID,CONDITION
430213,5103003,1089801,4
430213,1058457,8895210,4
430213,1068063,1068037,4
430213,1097916,1072249,4
430213,1072249,1083183,4
430213,1013403,1094889,1
430213,8897957,1079958,4
430213,8894614,8896105,4
430213,8897288,1072959,4
430213,1072950,1006619,4
430213,8893568,8892572,4
430213,8894701,8894701,1
430213,8369300,8893918,4
430213,1015714,8570532,4
430213,1015717,1020922,4
430213,1020649,1012909,4
430213,8571564,7105605,4
430213,7105605,1083644,4
430213,1096661,8896958,4
430213,1007008,1084468,4
430213,1096032,1074181,4
430213,1074103,1096417,4
430213,1068063,1068061,2
430213,8895211,1048321,4
430213,8107093,8107093,1
430214,1086103,8893918,4
430214,1015714,8894182,4
430214,8894182,1093822,4
430214,1079154,5102852,1
430214,1041669,8895161,4
430214,8895232,8891916,1
430214,8101829,1079155,4
430214,1079155,7105605,1
430214,1079155,7105605,4
430214,7105605,1045969,4
430214,8892543,8896012,4
430214,1059426,1016604,4
430214,1018078,1066198,4
430214,1066219,8897674,4
430214,1010524,1068354,4
430214,8893111,1086345,4
430214,1020920,1083970,4
430214,8104321,1079231,4
430214,1041686,1084114,4
430214,1083544,1083537,1
430214,1097844,8895124,4
430214,8895125,8893659,4
430215,1082417,1087029,4
430215,1087029,8898528,1
430215,1087029,1088607,4
430215,1015715,8897457,3
430215,1088606,1013637,4
430215,1039180,1018818,4
430215,8107655,1087986,4
430215,8897489,8891118,4
430215,8898914,1078618,4
430215,1086345,1044230,4
430215,1052127,8899531,4
430215,8897119,1077001,4
430215,1076994,1077001,3
430215,8893323,1076038,4
430215,8571908,8892323,4
430215,1041278,1041243,1
430215,8898057,1031606,4
430215,1085745,1063216,4
430215,1072414,8894939,4
430215,8897821,1012233,4
430215,8571796,8192110,1
430215,8192110,8314810,4
430216,8892059,1087318,4
430216,1078791,8898033,4
430216,8107658,1086114,4
430216,1086108,7106677,4
430216,1011855,1021149,4
430216,1043926,1021007,4
430216,1078614,8671200,4
430216,8891613,8894546,4
430216,8105326,8900109,4
430216,1089909,8891788,4
430216,8894063,1005748,4
430216,8895046,1088499,4
430216,8893394,1033498,2
430216,8891866,1060501,4
430216,1071659,8572028,4
430216,8897457,8897671,4
430216,1096083,1090354,4
430216,1087317,1087318,2
430216,8892376,1046022,4
430216,8571739,1087382,2
430217,8895092,1053490,4
430217,8894295,8898384,4
430217,1084155,8892492,4
430217,1087668,1087668,1
430217,1096400,7105004,1
430217,1089751,1026742,4
430217,8103798,8898299,4
430217,8897456,8893111,4
430217,8892932,1021212,4
430217,1074103,8630811,4
430217,1050743,1050745,1
430217,1049887,1087470,1
430217,8892588,1083011,4
430217,1013164,1091399,2
430217,1083225,1083278,2
430217,1011344,8894824,4
430217,1031546,1088758,4
430218,1097059,1071047,4
430218,1015714,1055489,4
430218,1040874,8104932,4
430218,8104932,1043725,4
430218,1043594,8100875,4
430218,1095167,1075952,4
430218,1075846,8893917,4
430218,8571564,1012081,4
430218,8897456,1031850,4
430218,1085812,1087642,4
430218,1059482,1021150,4
430218,1021007,1021007,1
430219,8107250,7109608,4
430219,8894346,8894435,4
430219,7108628,1068068,4
430219,1068083,1079579,4
430219,8895141,1096089,4
430219,8105326,1096089,4
430219,8105326,8105327,1
430219,1096090,1079958,4
430219,8893986,8892271,4
430219,8892133,8105327,4
430219,1010472,1095167,4
430219,1095167,8894346,4
430220,1024786,8891143,4
430220,8897457,1028692,4
430220,1085931,8192110,4
430220,8571521,1088460,4
430220,1040042,8894829,4
430220,1050650,1086126,4
430220,1004632,8214610,4
430220,1072635,1078726,4
430220,1021180,8890947,4
430220,1096090,1065446,4
430220,1035892,1065446,1
430221,1067873,1030386,4
430221,1030383,8894330,4
430221,8894330,1096979,4
430221,1031546,1050785,4
430221,8102237,8895175,4
430221,1067193,8890460,4
430221,8898118,8898119,2
430221,8896190,1065615,4
430222,1050667,1030550,4
430222,1011319,1074070,4
430222,1087423,8893463,4
430222,8893068,8232310,4
430222,8100875,1047513,4
430222,1047688,1016646,4
430222,1085362,1058455,4
430222,8892918,1079488,4
430222,8125900,8125910,1
430222,8897271,1035074,4
430223,7109607,1089521,4
430223,8891994,1071047,4
430223,1015714,1001400,4
430223,1001401,8653201,2
430223,8653601,7108150,1
430223,1091064,8898547,4
430223,1015716,8897582,4
430223,1015716,8897582,1
430223,1087533,1054709,4
430223,8892744,8892744,2
430223,1052603,1053442,4
430223,1053442,8230010,4
430224,8893863,1042695,4
430224,8898299,8890655,4
430224,8893568,8893568,1
430224,1004597,8898443,4
430224,1043926,1082011,4
430224,1091097,1075952,4
430224,8107029,8893954,4
430224,1090507,8571908,4
430225,1031546,1034134,4
430225,8893884,1088448,4
430225,1088448,8106859,4
430225,1014726,8260700,4
430225,8893149,1075409,4
430225,8893600,8893600,2
430225,1075408,1012539,4
430225,1068625,8892558,4
430226,1048400,1055942,4
430226,8898303,1067509,4
430226,1086114,1086113,1
430226,1004632,1026742,4
430226,8103798,1083011,4
430226,1015714,1075952,4
430226,1010138,1073947,4
430227,1010707,1067755,4
430227,1005804,8181710,4
430227,8181710,1038086,4
430227,1038127,1081357,4
430227,1081111,1075952,4
430227,1092753,1088594,4
430228,1053382,1067869,4
430228,8892932,8891663,4
430228,1005165,8895207,4
430228,1077251,8898898,4
430229,8897821,8102005,4
430229,8102002,8897020,4
430229,1011129,1011137,2
430229,8897021,8899667,4
430229,8896107,1049312,4
430229,1049860,1034256,4
430230,1011054,8894824,4
430230,1031546,1095946,4
430230,1095463,5102941,4
430230,8894790,8894790,1
430230,8106305,8897394,4
430230,1087478,1069935,2
430230,8894863,1086122,4
430230,7108650,1086243,4
430231,8897344,1084809,4
430231,1014183,8102237,4
430231,8571916,1002414,4
430231,1067460,1067460,1
430231,1067542,1067546,1
430231,1067571,1067570,1
430231,1005824,1094374,2
430231,1005733,8893111,4
430232,8897457,1047687,4
