OBU_ID,DESTINATION_LINK_ID,ORIGIN_LINK_ID,CONDITION
2230301,1085397,1038314,2
2230301,1038444,1088448,2
2230301,8898351,8898351,1
2230301,7105839,5102943,2
2230301,8894981,1089856,4
2230301,8895231,8895231,1
2230301,1089801,1089801,1
2230301,5104210,5104211,2
2230301,1067881,1041292,4
2230301,1041254,8894324,3
2230301,8894324,8893839,2
2230301,8893839,1070998,3
2230301,1041251,1065302,4
2230301,8897252,8894100,4
2230301,1075644,8340900,4
2230301,1043205,1043205,2
2230301,1047635,8888185,4
2230301,1059401,8893327,4
2230301,8890746,1029081,4
2230301,1075122,1075122,3
2230301,8894423,8894422,2
2230301,1029081,1045578,4
2230301,8894559,1043295,2
2230301,1043329,1043330,1
2230301,8153610,8153610,1
2230301,1045574,1030758,4
2230301,1086248,8897958,4
2230301,8100807,1016216,4
2230301,1016212,1016206,3
2230301,1082206,1082206,2
2230301,1029890,8104898,2
2230301,8895409,1029895,3
2230301,8894736,8571647,2
2230301,1082166,1060505,4
2230301,1093259,8898297,4
2230301,8893272,8893268,3
2230301,1028729,1028744,2
2230301,8894614,8894613,1
2230301,1028741,8898297,1
2230301,8893272,8893268,3
2230301,1028735,1075806,4
2230301,1089842,1089842,1
2230301,1011571,1084855,4
2230301,1018823,1018818,1
2230301,8101971,8189710,1
2230301,1088036,1088035,2
2230301,8101971,8189710,2
2230301,1011899,1068695,2
2230301,8101971,8189710,1
2230301,8101886,8101893,1
2230301,1088036,1088035,2
2230301,8106254,1080572,4
2230301,1085945,5103580,4
2230301,1073341,5103388,4
2230301,1083173,1083173,2
2230301,1083015,1083081,3
2230301,1063216,1063213,2
2230301,1083015,8893442,2
2230301,1085271,1083206,3
2230301,1083298,1083190,1
2230301,1097329,8893328,4
2230301,8891580,7105279,4
2230301,1036420,1052161,4
2230301,1052160,1052160,2
2230301,1052011,1090196,2
2230301,1052161,1052160,3
2230301,1052011,1090196,2
2230301,1052161,1064438,4
2230301,1064439,1064436,1
2230301,1064406,1077539,4
2230301,8895987,8897274,4
2230301,8894456,8104109,4
2230301,1089960,1091026,4
2230301,1090798,8894009,3
2230301,1067909,8651001,1
2230301,1067881,1059792,2
2230301,1067881,1059792,2
2230301,1059804,1059917,2
2230301,8897880,8335210,1
2230301,8335210,8899296,2
2230301,8335610,8107100,2
2230301,1085721,1067845,1
2230301,7109225,1068778,4
2230301,8192100,1048296,4
2230301,1073968,1086247,4
2230301,8891613,1079887,4
2230301,1079884,1004879,4
2230301,8890633,8890633,2
2230301,8890509,8893775,2
2230301,1004877,1044666,4
2230301,8893764,8893764,1
2230301,8896029,8895850,4
2230301,8892440,8895222,4
2230301,1093422,8242200,2
2230301,1068652,1068652,2
2230301,1089150,1089150,1
2230301,1013623,1013623,1
2230301,8897016,8571692,4
2230301,8898671,8898671,1
2230301,1040388,1082830,4
2230301,1088694,1088598,1
2230301,1083109,1085271,2
2230301,1012882,1011161,3
2230301,1013886,1013887,1
2230301,1014628,1018210,2
2230301,8899605,8899589,2
2230301,1083187,8898071,4
2230301,8898528,8898527,4
2230301,1050620,1050620,1
2230301,1050720,1050686,2
2230301,8892608,1050780,2
2230301,8898528,8898527,2
2230301,1050620,1050686,2
2230301,1050783,1068070,4
2230301,1068063,1084661,4
2230301,1084611,8897412,4
2230301,8898511,8449610,2
2230301,8572176,8350600,1
2230301,8897412,1068100,4
2230301,8895217,1038579,4
2230301,8893449,8898356,4
2230301,1085014,8898924,4
2230301,8100824,8899589,4
2230301,1018926,1084758,1
2230301,5102000,7105290,4
2230301,1036282,8894434,4
2230301,7108068,8897018,4
2230301,8632400,7106333,4
