OBU_ID,DESTINATION_LINK_ID,ORIGIN_LINK_ID,CONDITION
422098,1067920,1068048,2
422098,1096418,1096418,1
422098,1059456,5102365,4
422098,1059456,5102365,1
422098,1059456,5102365,1
422098,1059456,5102365,4
422098,8894660,8892076,2
422098,8893872,8893872,2
422098,1030554,1086113,4
422098,1004632,1087420,4
422098,1074231,1086185,4
422098,1090449,1021203,4
422098,1078665,1078674,1
422098,1021204,1021203,2
422098,1021175,8897882,4
422098,1067282,1091181,4
422098,1086057,1088147,4
422098,8895407,8187500,4
422098,8119410,1024909,4
422098,1076958,1007023,2
422098,1024919,8899104,4
422098,8894503,8894503,1
422098,8894503,8892572,4
422098,8369300,8892492,1
422098,8898165,8898165,1
422098,1058457,1058454,1
422098,1058455,1074320,4
422098,8900227,8101744,4
422098,1015218,1075952,4
422098,1075212,1028894,2
422098,1075846,1075846,1
422098,1009649,1085733,2
422098,5103785,1079810,4
422098,1079810,1030241,4
422098,1031776,1031771,2
422098,1031851,8106628,4
422098,1066836,8891833,4
422098,8891781,1029479,4
422098,8890768,1069601,3
422098,8890768,1069601,4
422098,1090321,8297000,4
422098,1059580,1033788,4
422098,8895467,8208210,4
422098,1086754,1058613,4
422098,1097147,1096066,4
422098,1080008,1011925,4
422098,8192100,1093906,4
422098,8891081,8895963,4
422098,7106733,1037589,2
422098,1039287,1039209,1
422098,1039209,1039209,1
422098,7106735,1092345,2
422098,1079676,1097494,4
422098,1084054,1044209,4
422098,1087034,1086228,4
422098,1008219,8893294,4
422098,1010119,8894404,4
422098,1095000,8897324,4
422098,1074333,1076412,4
422098,1076412,1076412,3
422098,1085786,1096748,4
422098,1036593,1036593,2
422098,1091539,8898789,4
422098,1046067,1073372,4
422098,1032744,1032750,3
422098,1040820,1040859,2
422098,1086444,1086444,3
422098,1073375,8895169,4
422098,8892491,1003900,4
422098,8890633,8571008,4
422098,8893326,1039613,4
422098,1088591,1071211,4
422098,1086483,8890946,4
422098,1009596,8891008,4
422098,1010514,1010513,2
422098,1018880,8894074,3
422098,1088027,1085047,3
422098,8893986,8893149,4
422098,1084125,1068851,4
422098,8894246,1031710,4
422098,1031709,8171410,4
422098,8892491,1020927,4
422098,1021218,1021212,1
422098,1021312,8900865,4
422098,8892115,1068769,4
422098,1039739,1079853,4
422098,1011150,8899248,4
422098,1012882,1012881,2
422098,1011660,1089063,1
422098,8101966,1011199,4
422098,1012962,8101134,4
422098,8102339,1087838,4
422098,1084314,1088750,4
422098,1037743,1040415,4
422098,8893883,1085362,4
422098,8101587,1077616,4
422098,8893357,8102004,4
422098,8896125,1020930,4
422098,1020925,1088418,4
422098,8107748,7106641,4
422098,8893294,8896368,4
422098,8890405,1029730,4
422098,8891880,1095506,4
422098,1092821,8890942,4
422098,1096083,1004841,4
422098,1086114,8106998,4
422098,1011174,8898680,4
422098,1011174,8898680,4
422098,8896271,8895573,4
422098,8895576,1039209,4
422098,8897958,1000502,4
422098,1090007,1068817,4
422098,1064963,1020998,4
422098,8900317,8900317,1
422098,1021203,1021203,2
422098,1021161,1088499,4
422098,8107365,1074575,4
422098,1087318,8891144,4
422098,1092226,1039873,4
422098,1040417,1010566,4
422098,1079943,8192110,4
422098,1068765,1089767,4
422098,8893272,8894484,1
422098,8896434,1041246,4
422098,1070955,1009597,4
422098,1008599,1095350,4
422099,1020921,8106856,4
422099,8891926,8890658,4
422099,8893565,8893565,1
422099,1005486,1005486,1
422099,8895989,8895575,1
422099,1077242,1077242,1
422099,8894284,1087318,4
422099,1046013,1096776,4
422099,1096602,1079980,4
422099,1080008,8893864,4
422099,1037425,1037425,1
422099,8570918,1095348,4
422099,1037357,1004972,4
422099,1078620,1008647,4
422099,8890743,8894582,4
422099,8892274,1017407,4
422099,7107061,8897020,4
