OBU_ID,DESTINATION_LINK_ID,ORIGIN_LINK_ID,CONDITION
2560138,8898918,8896273,4
2560138,8895211,1015494,4
2560138,8571867,1068077,4
2560138,1087634,1083202,4
2560138,1082325,8891957,4
2560138,1072185,1068097,4
2560138,1068059,1068059,1
2560138,1059457,1006667,4
2560138,8891579,8896126,4
2560138,1028872,8890351,4
2560138,1094613,8899189,4
2560138,1012756,1038305,4
2560138,8101597,1088527,4
2560138,1041054,8107657,4
2560138,8896060,1075249,4
2560138,1080008,1020929,4
2560138,1020850,1091035,4
2560138,1080464,1088731,1
2560138,8100777,1084700,4
2560138,1084697,8895080,4
2560138,1084697,8895080,2
2560138,8896368,8896369,2
2560138,8890486,1020929,4
2560138,8106929,1066440,4
2560138,1029741,8896273,4
2560138,8895231,8895231,1
2560138,1069600,1077168,4
2560138,1007837,8893591,4
2560138,1025776,8893567,4
2560138,8895994,8895995,1
2560138,1090448,1066553,4
2560138,8891893,8891418,4
2560138,1091694,8891866,4
2560138,8891866,1075701,4
2560138,1025098,1018449,4
2560138,1017892,1045028,4
2560138,8895704,1007535,4
2560138,1025097,1074473,4
2560138,8892409,8892409,1
2560138,8896069,8891686,1
2560138,1030776,1030750,1
2560138,1030750,1058905,4
2560138,8106720,8895371,4
2560138,1068801,1046454,4
2560138,1074406,1065415,4
2560138,8894693,8894797,4
2560138,1040884,1086122,4
2560138,1004632,1059398,4
2560138,1068096,1083785,4
2560138,1083769,1039181,4
2560138,1011403,8572149,4
2560138,1011403,8572149,4
2560138,1011528,1085292,4
2560138,1094612,1021203,4
2560138,1078618,1020984,1
2560138,1021203,8897094,4
2560138,8891997,8900116,4
2560138,8896990,1067927,4
2560138,1067927,1059401,4
2560138,8896274,8896273,1
2560138,1059400,1004975,4
2560138,1086126,1086125,1
2560138,1004974,1004975,1
2560138,1089798,8893510,4
2560138,1033949,1035303,4
2560138,1083587,8103435,4
2560138,1033574,5104306,4
2560138,1064517,1085485,4
2560138,1094301,1065529,1
2560138,1094300,1094300,2
2560138,1017820,1065545,1
2560138,1018035,1017713,1
2560138,1017677,1012892,4
2560138,1091480,8107092,4
2560138,1056333,1056321,2
2560138,8895283,1029775,4
2560138,1028517,1033660,4
2560138,1080457,8898356,4
2560138,1012082,1081943,4
2560138,1092440,1092440,2
2560138,8892112,8890795,4
2560138,8891590,8891590,3
2560138,8893712,1036903,4
2560138,1064390,1080317,4
2560138,1016316,1083297,4
2560138,1083357,8892922,4
2560138,8352010,1036594,4
2560138,7107058,1095946,4
2560138,1020922,1020921,2
2560138,1086342,1045564,4
2560139,1008600,1076876,4
2560139,1076877,8672600,4
2560139,1034295,1033518,4
2560139,8897234,1031546,1
2560139,1031546,8895624,4
2560139,8891917,1078618,4
2560139,1021006,8898570,4
2560139,1076485,7107342,4
2560139,1068607,8891209,4
2560139,1018972,1010562,4
2560139,1083250,1064296,4
2560139,1088498,1088067,4
2560139,1019388,1084101,4
2560139,1083267,8893602,4
2560139,8890893,1021033,4
2560139,1021011,1071662,4
2560139,1060499,1068049,4
2560139,1068072,1096485,4
2560139,1096485,8891083,4
2560139,8891083,1068491,4
2560139,8895368,8892491,4
2560139,8892491,8890796,4
2560139,8890839,8890838,2
2560139,8890795,8894007,4
2560139,1020399,8893896,4
2560139,1089011,8896170,4
2560139,8896170,1068069,4
2560139,8895058,1085778,4
2560139,1029478,1033438,4
2560139,8892568,1023160,4
2560139,8890697,8896438,4
2560139,8899459,1059580,2
2560139,8899459,1059580,4
2560139,1068053,1073140,4
2560139,1022984,1022983,1
2560139,1086114,8893896,4
2560139,1089011,1077470,4
2560139,1010514,8898386,4
2560139,8898707,7107200,4
2560139,8898395,8900150,4
2560139,8898712,1087166,4
2560139,8893725,8893726,1
2560139,1007039,1076921,1
2560139,1007487,1079948,4
2560139,8894711,1043508,4
2560139,8892409,1010109,4
2560139,1089908,8895119,4
2560139,8888152,8893494,4
2560139,8896959,1093602,4
2560139,1093602,1075166,4
2560139,1028506,1068049,4
2560139,1059419,8893330,4
2560139,8893330,8570918,4
2560139,8894885,1051382,4
2560139,1066936,1008585,4
2560139,1076874,1087346,4
2560139,1094139,1094139,2
2560139,1094139,1087275,4
2560139,8894842,8894842,1
2560139,1023530,8891725,2
2560139,8891895,1015845,4
2560139,1016169,1069022,4
2560139,1012188,1088499,4
2560139,1086557,1058605,4
2560139,1073947,1020926,4
2560139,1020398,1039263,4
2560139,7107448,1092159,2
2560139,1033787,1074093,4
2560139,1069885,1025776,4
2560139,8893590,8571867,4
2560139,1080078,1080064,1
2560139,1080096,1080096,1
2560139,8571867,8893883,4
2560139,8894594,1034963,4
2560139,5102974,1059388,4
2560139,1068112,8891115,4
2560139,8898684,8898683,1
2560139,8899232,1059098,4
2560139,1064315,8894294,4
2560139,1063216,1063213,2
2560139,8894295,8892826,4
2560139,8892824,8893602,4
2560139,8893602,1082722,4
2560139,8102899,1028860,4
2560139,8898102,1071664,4
2560139,1093601,8572187,4
2560139,8572187,7104890,4
2560139,1082264,8101983,4
2560139,8101587,1077609,4
2560139,1020448,5102600,4
2560139,1046067,8894304,4
2560139,1077639,8898056,4
2560140,8893963,8893326,4
2560140,1086213,1007081,1
2560140,1086221,8133810,4
2560140,1030242,7106642,4
2560140,8890975,8890966,1
2560140,1026393,1078619,4
2560140,1045113,8192110,4
2560140,8198100,1043808,4
2560140,8198100,1043808,2
2560140,8198100,1043808,4
2560140,8897331,8893703,4
2560140,8104110,1029740,4
2560140,8103460,1097290,2
2560140,1085938,1076616,4
2560140,8894019,1035992,4
2560140,8571806,1064875,1
2560140,1088907,7106642,4
2560140,8890943,8890943,1
2560140,1050747,8891924,4
2560140,1063257,1039209,4
2560140,8571990,1087634,4
2560140,1087562,8891106,4
2560140,8897039,1004752,4
2560140,1086125,8630901,4
2560140,8899947,1079752,4
2560140,1079706,1011586,4
2560140,1011517,8895660,4
2560140,8890668,1078109,4
2560140,1078109,1036289,4
2560140,8900832,8895867,4
2560140,1068218,1067860,4
2560140,8896155,8890934,4
2560140,1097632,1019162,4
2560140,8891182,1074181,4
2560140,1074181,8898097,4
2560140,1083782,1083772,1
2560140,1083784,1083777,1
2560140,1083780,1080898,4
2560140,1034639,8894204,4
2560140,1071037,8891405,4
2560140,8893624,1020929,4
2560140,1020850,1089751,4
2560140,8895170,8895417,4
2560140,8890555,1014495,4
2560140,8893017,8896273,4
2560140,1068047,8101983,4
2560140,8101901,1033639,4
2560140,8570767,8570767,1
2560140,1080385,1091481,4
2560140,8891082,1084107,4
2560140,1089036,1089035,2
2560140,1084105,1057485,4
2560140,8894962,1002426,4
2560140,1002426,1036152,4
2560140,8893848,1085318,4
2560140,8894613,1079854,4
2560140,1066586,8894456,4
2560140,1041213,1063588,1
2560140,1041061,8893860,4
2560140,1079590,1075217,1
2560140,1075147,8894761,4
2560140,8899535,1068981,4
2560140,1069380,1037068,4
2560140,1064791,5101976,4
2560140,1028870,1081353,4
2560140,1081342,1065555,4
2560140,1094300,8892071,4
2560140,1037483,8103988,4
2560140,8104414,8105258,4
2560140,8894613,1086113,4
2560140,1004632,8192110,4
2560140,8894600,1071648,4
2560140,1093601,1087409,4
2560140,1093176,8899106,4
2560140,1073633,8893279,4
2560140,8890925,1005572,4
2560140,7108724,1075148,4
2560140,8896145,1073320,4
2560140,1063217,1085927,4
2560140,1080008,8894392,4
2560140,1080008,1035335,4
2560140,1017332,1097309,4
2560140,8893986,1083283,4
2560140,1037367,1089877,4
2560140,1071184,1047446,4
2560140,1071184,1047446,4
2560140,1047446,,4
2560141,1028327,8897890,4
2560141,8894813,8894813,2
2560141,8897891,8571740,4
2560141,8897891,8571740,4
2560141,8892569,8892569,1
2560141,1027263,1037337,4
2560141,1037420,1061252,4
2560141,8102172,1085896,4
2560141,8900116,8900117,2
2560141,1091949,1083091,4
2560141,1069111,8891123,4
2560141,1029038,8898412,4
2560141,8894246,8894144,4
2560141,1039179,8100780,1
2560141,1015723,8193500,4
2560141,8570813,8369310,4
2560141,8896314,1047947,4
2560141,1049958,8894001,4
2560141,8895228,8290900,1
2560141,8895202,8101664,1
2560141,8894134,8571749,4
2560141,8894134,8571749,1
2560141,1047635,1072635,4
2560141,1072636,8898458,4
2560141,1031547,8893884,4
2560141,8894334,8892081,4
2560141,8893870,1015643,4
2560141,1015592,1031414,4
2560141,1041713,8891085,4
2560141,1094694,1083203,4
2560141,1084758,1006849,4
2560141,1006849,1031526,4
2560141,8897234,8894596,4
2560141,8898617,1045025,4
2560141,8895704,7106641,4
2560141,8893294,8630901,4
2560141,1050186,8897263,4
2560141,1080315,1087463,4
2560141,8894842,1085637,4
2560141,1062423,1010566,4
2560141,1094003,8570904,4
2560141,8891070,8897945,4
2560141,1088483,1096576,2
2560141,1096585,1096585,2
2560141,1040120,1024843,4
2560141,1022920,1022966,2
2560141,8893713,1017158,4
2560141,1018601,1079715,4
2560141,1083186,1047802,4
2560141,8894549,5101832,4
2560141,1031543,1068061,4
2560141,1087658,1039209,4
2560141,8896825,1077618,4
2560141,1024752,8893357,4
2560141,1025679,8893372,4
2560141,7108632,1059401,4
2560141,8571234,8104500,4
2560141,1048033,8892653,4
2560141,8896163,8895130,1
2560141,8103486,8896027,4
2560141,8369300,8897421,4
2560141,8897421,8897457,4
2560141,1068640,1073258,4
2560141,8894119,8894438,2
2560141,1080395,1073010,4
2560141,1073010,1073010,2
2560141,1073013,1005071,4
2560141,7108621,1086346,4
2560141,1020930,1024653,4
2560141,1077438,1023176,1
2560141,1021314,1021314,1
2560141,1021461,1080221,4
2560141,8182300,8900747,4
2560141,1082005,5102967,4
2560141,1028488,1079948,4
2560141,8898520,8898519,1
2560141,1013201,1021196,4
2560141,1020389,8892931,4
2560141,8893110,1003382,4
2560141,1077932,5102484,4
2560141,1076890,7106919,4
2560141,1073013,1089005,4
2560141,1089010,7104996,4
2560141,1059193,8900724,2
2560141,5101998,8891137,4
2560141,8891025,1095945,4
2560141,1095945,1095946,1
2560141,1078609,1078609,1
2560141,1021011,1038282,4
2560141,1038339,1033703,4
2560141,5101832,8262400,1
2560141,8890655,8571777,4
2560141,1059540,8892046,4
2560141,1012881,1061762,4
2560141,7106919,7106918,2
2560141,1093096,5103670,4
2560141,1088992,1094137,4
2560141,8571824,1074437,1
2560142,1010535,1010533,1
2560142,1096067,8892162,4
2560142,8892591,8898873,4
2560142,1059540,1096593,4
2560142,1032033,8266500,4
2560142,1079740,8895136,4
2560142,8896959,8890912,1
2560142,8891908,1004465,4
2560142,1001403,1089448,4
2560142,8891081,1094525,4
2560142,1076014,1086113,4
2560142,1067507,1088498,4
2560142,1038983,1096082,4
2560142,1096083,1083297,4
2560142,1083355,1076877,4
2560142,8896598,1082788,4
2560142,1082630,1082617,1
2560142,1082624,1013019,1
2560142,8899181,8895215,4
2560142,8895212,1075952,4
2560142,1079984,1047449,4
2560142,8571404,8897562,4
2560142,1031546,1080008,4
2560142,1089443,1086125,4
2560142,8896065,8896066,2
2560142,1004930,8900620,4
2560142,1048743,8582401,4
2560142,1086150,1095177,4
2560142,1097366,1097366,1
2560142,8892790,1083992,4
2560142,1038610,8894948,2
2560142,1039287,1068084,4
2560142,1068047,1079948,4
2560142,1012982,8899520,4
2560142,1038818,1059401,4
2560142,1097148,8155610,2
2560142,1068111,1094174,4
2560142,8242200,1077618,4
2560142,1077506,1080132,4
2560142,8891070,8897756,4
2560142,8570733,1096083,4
2560142,8897823,1095937,4
2560142,1078109,8897912,4
2560142,1040021,8891426,4
2560142,8891856,1077750,4
2560142,8891565,8900560,4
2560142,1041602,1088205,4
2560142,1070952,1072679,4
2560142,1072726,8891143,4
2560142,8897457,8897456,2
2560142,8891143,8677600,4
2560142,1074073,1069375,4
2560142,8891989,1083314,4
2560142,1083283,1086113,4
2560142,1086107,8101982,4
2560142,8104276,1058498,4
2560142,1090510,8181700,4
2560142,1067251,1077168,4
2560142,1007837,1094505,4
2560142,8636201,8898655,4
2560142,1086774,1087932,4
2560142,1019061,1085013,1
2560142,1018938,8193500,4
2560142,1018938,8193500,1
2560142,8895798,1010601,4
2560142,1029481,1072178,4
2560142,1086824,1083120,4
2560142,1011199,1080292,4
2560142,1015793,8895791,4
2560142,1097850,1097850,2
2560142,8891766,8900037,4
2560142,8900041,1072744,4
2560142,8104110,1005312,4
2560142,8898558,1093906,4
2560142,8106067,8897575,4
2560142,8890641,8890642,2
2560142,1095784,1057525,4
2560142,8892917,1039652,4
2560142,8101256,1087084,4
2560142,8101256,1087084,4
2560142,1049976,1067023,1
2560142,1050760,1060506,4
2560142,1060581,8899182,4
2560142,1015660,1079752,4
2560142,1079706,1082722,4
2560142,1082437,1082441,1
2560143,1047438,1047438,1
2560143,1047438,1010138,4
2560143,8891783,1069835,4
2560143,1087435,1085906,4
2560143,1028587,1075027,1
2560143,1075124,1031623,4
2560143,8893845,1067326,4
2560143,1004974,1013604,4
2560143,1091432,1039181,4
2560143,1038886,1088410,2
2560143,1083879,1087986,4
2560143,1066106,8898532,4
2560143,1038339,1011055,4
2560143,8101971,1085944,4
2560143,1074724,1091377,4
2560143,8897009,1011692,1
2560143,1011273,1012892,4
2560143,1012915,1037376,4
2560143,1085786,1046478,4
2560143,7107306,7107306,1
2560143,1048701,8894346,4
2560143,8105259,1091481,4
2560143,8888143,1097278,4
2560143,1086626,1086247,4
2560143,1086155,1086156,2
2560143,1006999,1089681,4
2560143,1000506,1086228,4
2560143,1000506,1086228,4
2560143,1008219,1059633,4
2560143,1068070,1068070,1
2560143,1068060,8897575,4
2560143,8890641,8890642,2
2560143,1095784,8104563,4
2560143,1014348,1061668,4
2560143,1070762,1061608,1
2560143,1061667,1061668,1
2560143,1070762,1085923,4
2560143,5101967,8897917,4
2560143,1088474,8630901,4
2560143,1050186,1068851,4
2560143,1069432,1007182,4
2560143,1075505,7106473,4
2560143,8672600,1041119,4
2560143,1071153,8897914,4
2560143,1030547,1050186,4
2560143,5101998,1015707,4
2560143,8899182,1001805,4
2560143,1089692,8899535,4
2560143,1018947,1089533,4
2560143,1088792,8571693,4
2560143,8894626,8104236,4
2560143,8894663,8894663,1
2560143,8893123,1090298,3
2560143,8898238,8898238,3
2560143,1015876,1015876,2
2560143,1015876,8891926,4
2560143,1072360,1087668,4
2560143,1087668,8105327,4
2560143,1096090,8189610,4
2560143,8898355,8897337,4
2560143,8895900,1088471,4
2560143,1088471,1013704,4
2560143,1065128,8891069,4
2560143,8891069,1021180,4
2560143,1021399,1079572,4
2560143,8601110,8891126,4
2560143,8891083,1010566,4
2560143,1079984,1079987,3
2560143,1012756,1085908,4
2560143,1086214,1078109,4
2560143,1078109,5104028,4
2560143,8894808,8894808,1
2560143,8894808,8105741,4
2560143,8894361,8897841,4
2560143,1031547,8893863,2
2560143,1031547,8893863,4
2560143,8893863,1057794,4
2560143,1085625,1077520,4
2560143,1024810,8890769,4
2560143,1062297,1039264,4
2560143,8100807,1072266,4
2560143,1049863,8899294,4
2560143,7107107,8897849,4
2560143,8898343,8894410,4
2560143,8891418,1089382,4
2560143,1012862,1080768,4
2560143,8897457,8894284,4
2560143,8894284,1011459,4
2560143,1089377,8894422,4
2560144,5102817,8895115,1
2560144,1016616,8893998,4
2560144,1013623,5103407,4
2560144,8899293,1038310,4
2560144,1035301,1088154,4
2560144,1088147,1041909,2
2560144,1088153,8892576,4
2560144,8898527,1013361,4
2560144,1088599,8895211,4
2560144,8893510,1087439,4
2560144,1048391,1048391,1
2560144,1045574,1059401,4
2560144,1096417,5104440,2
2560144,8895217,1076959,4
2560144,1006620,1084514,4
2560144,8894758,8894757,1
2560144,1083225,8102391,4
2560144,8891927,8891928,1
2560144,1086445,8891146,4
2560144,1012727,1012751,1
2560144,8897815,8897814,1
2560144,1012767,1012767,2
2560144,1085494,8896384,4
2560144,1085300,8890768,4
2560144,1075522,1014179,4
2560144,8893012,1088499,4
2560144,8893012,1088499,4
2560144,1073319,1003900,4
2560144,8890633,8893474,4
2560144,1084980,1055524,4
2560144,1096228,8274500,4
2560144,1069007,1012202,2
2560144,1079981,8891329,4
2560144,8891330,1021049,4
2560144,1020920,1095506,4
2560144,1049489,1038818,4
2560144,1083976,1083342,4
2560144,1069378,1081884,4
2560144,7106445,1075212,4
2560144,5102009,8896056,4
2560144,8891783,8896066,4
2560144,1005202,1005221,1
2560144,8181610,1010566,4
2560144,1010566,8893330,4
2560144,8890762,1014495,4
2560144,8893017,1097363,4
2560144,8894546,1067688,4
2560144,1067218,1059582,4
2560144,8895133,8895133,1
2560144,8895130,1031623,4
2560144,8892119,1068068,4
2560144,1068111,1095143,4
2560144,1066257,8892491,4
2560144,8892492,1096090,4
2560144,8891004,8898916,4
2560144,8894601,1086792,4
2560144,1066306,1075952,4
2560144,1085322,8120200,4
2560144,1064907,1083297,4
2560144,1083331,8898056,4
2560144,1039263,1021203,4
2560144,1021187,1021185,1
2560144,1021204,1095166,4
2560144,1079497,1074730,4
2560144,1029740,1029741,2
2560144,1074725,8271000,4
2560144,1089063,8897009,1
2560144,1080010,1012778,4
2560144,8897753,8635900,4
2560144,8890977,8104272,4
2560144,8192100,1028873,4
2560144,8893520,8894314,4
2560144,5102763,1095353,4
2560144,8894143,8894144,1
2560144,8894143,8894144,1
2560144,1081116,1071759,4
2560144,1071748,1071723,2
2560144,1093601,8894825,4
2560144,1025761,8891651,1
2560144,8900297,1060506,4
2560144,1060507,1002414,4
2560144,1095787,1005615,4
2560144,1004806,1004808,1
2560144,1086137,8894213,4
2560144,8105377,8105378,2
2560144,1055942,8888144,4
2560144,1015324,5102720,4
2560144,1064316,1017983,4
2560144,1018423,8896385,4
2560144,1005164,1094137,4
2560144,8571824,1074437,1
2560144,1044110,1088499,4
2560144,1087991,8898143,4
2560144,8893653,1071240,1
2560144,8102237,8893651,4
2560144,1071201,1071211,2
2560144,8894208,,4
2560145,1096276,8104407,4
2560145,1086145,1068066,4
2560145,1068052,1068049,2
2560145,1068067,7108470,4
2560145,1093660,1068097,4
2560145,1068067,1087657,4
2560145,1048743,1069903,4
2560145,1048229,1048252,2
2560145,1045566,1069940,4
2560145,1087667,1005201,4
2560145,1067218,1079720,4
2560145,8891080,1010566,4
2560145,7108650,1057738,4
2560145,5104210,1039605,4
2560145,8898695,1000088,4
2560145,1000082,1095935,4
2560145,8352510,1095117,4
2560145,1075088,1096418,4
2560145,8104484,8891028,4
2560145,5104098,8274600,3
2560145,8896084,1083189,4
2560145,1034456,1034456,2
2560145,1083152,8891073,4
2560145,8896048,8895541,4
2560145,1021185,8895301,4
2560145,8897917,8897917,2
2560145,1088498,1033870,4
2560145,5102955,8191210,4
2560145,8894246,8893068,1
2560145,1011601,8105945,4
2560145,1063207,1066517,4
2560145,8895792,8897915,4
2560145,8896825,8893510,4
2560145,1011172,1011176,2
2560145,8900864,1085674,4
2560145,8571645,8891894,4
2560145,8571645,8891894,4
2560145,8898537,1096417,4
2560145,1090288,1012767,4
2560145,1083182,1060157,4
2560145,8900690,8274500,4
2560145,1075958,1075952,3
2560145,8105936,8895310,1
2560145,7108955,8895310,2
2560145,8894796,8894796,1
2560145,8103452,1092933,4
2560145,8171400,8171200,1
2560145,8895758,8891996,4
2560145,8893853,1066536,4
2560145,8898395,8892357,4
2560145,8892409,1050778,4
2560145,1071910,1067798,4
2560145,1086125,1084309,4
2560145,8894785,5102746,2
2560145,1084332,8181710,4
2560145,1067785,8892046,4
2560145,1082914,1010914,4
2560145,1094525,8892931,4
2560145,8893110,1059892,2
2560145,8892931,7108678,4
2560145,5102743,8225710,4
2560145,8897160,1025912,4
2560145,1077469,1096014,4
2560145,8898413,1053599,4
2560145,1053441,1012884,4
2560145,1083221,1083226,2
2560145,1083452,1077652,4
2560145,1077652,1038028,4
2560145,1033787,1011398,4
2560145,1012082,1012081,2
2560145,1011863,1015716,4
2560145,1083012,1075824,4
2560145,1011171,8899628,4
2560145,8899535,1076876,4
2560145,8896598,8892292,4
2560145,1070863,1070864,1
2560145,1042269,1085530,4
2560145,1016305,1069400,4
2560145,8897122,1069311,4
2560145,1069356,1069267,1
2560145,1069311,1064304,4
2560145,1068098,1037163,4
2560145,1017687,1080176,4
2560145,1080172,1086446,4
2560145,8900404,8898315,4
2560145,1086214,1064256,4
2560145,1069910,1069910,2
2560145,8888186,8896825,4
2560145,8103259,1096066,4
2560145,1035126,1035199,2
2560145,1079562,1070036,4
2560145,1070045,1080154,4
2560145,8107800,1045925,4
2560145,8327810,8601400,4
2560146,1058938,1005752,4
2560146,1058938,1005752,4
2560146,1085430,1085430,1
2560146,1095790,1083343,4
2560146,1011128,1072752,4
2560146,8893224,1027437,4
2560146,8126210,1091906,2
2560146,8891655,1087595,4
2560146,8896383,8892085,4
2560146,8892022,1041010,4
2560146,8892223,1003382,4
2560146,1096597,1012539,4
2560146,7107341,1084054,4
2560146,1084125,1015255,4
2560146,1084125,1015255,4
2560146,8893397,1015494,4
2560146,8571867,8893843,4
2560146,1039344,1008265,4
2560146,8890746,8890747,2
2560146,8890796,1004703,4
2560146,1004929,1081966,4
2560146,8900864,8900864,1
2560146,1039210,8895983,4
2560146,1042119,1042120,2
2560146,8895862,8895217,4
2560146,8896434,8892748,4
2560146,8892743,8104277,4
2560146,1011054,1011055,2
2560146,1011571,1083382,4
2560146,7107584,8896433,4
2560146,1074725,8896433,1
2560146,8896433,1024995,4
2560146,1077522,1073618,4
2560146,1047384,1047383,1
2560146,8899671,8899667,1
2560146,8896119,8897875,1
2560146,1047632,1068077,4
2560146,1087634,1084514,4
2560146,1083225,1083202,4
2560146,1082325,8892199,4
2560146,1095350,1097366,2
2560146,8897268,5101997,4
2560146,8895231,8895231,1
2560146,1048707,8893779,4
2560146,1011516,1011519,1
2560146,1068813,1039181,4
2560146,1037476,8898056,4
2560146,1039263,1082110,4
2560146,1016298,8899138,4
2560146,8899138,8589510,2
2560146,8899138,8589510,4
2560146,8184200,8135210,4
2560146,8184200,8135210,4
2560146,1052450,8899233,4
2560146,8898684,8898683,1
2560146,1080149,8894438,4
2560146,1080395,1067346,4
2560146,1004963,1057756,4
2560146,1087479,1087478,1
2560146,1087668,8894232,2
2560146,8894232,8891666,4
2560146,8893282,8900149,4
2560146,8892100,8896918,4
2560146,1067509,1004631,1
2560146,1004631,1011055,4
2560146,8101971,1097022,4
2560146,1097023,8898947,4
2560146,8893883,8898056,4
2560146,1039263,1085483,4
2560146,1018868,1089485,4
2560146,1079847,1024031,4
2560146,1023919,8898056,4
2560146,1039263,8894346,4
2560146,8105259,8899233,4
2560146,8891116,8571076,4
2560146,8893282,8890770,1
2560146,8571075,1015733,4
2560146,1094311,1086247,4
2560146,1094311,1086247,4
2560146,1008586,1037295,4
2560146,1037186,1065947,2
2560146,1037195,1057792,4
2560146,5102676,1040741,4
2560146,1063217,8897655,4
2560146,1063217,8897655,4
2560146,1074885,8892199,4
2560146,8891082,1087667,4
2560146,1087667,1037354,4
2560147,8891322,1009481,4
2560147,1088592,1088592,2
2560147,1035301,1057027,4
2560147,1056987,1069268,4
2560147,1069376,8896716,4
2560147,8610800,1071654,4
2560147,1093601,1071759,1
2560147,1071652,1071664,1
2560147,1093601,8898170,4
2560147,8898170,8898170,1
2560147,8898169,8898169,1
2560147,1087468,1087469,1
2560147,8895893,1049888,1
2560147,1097075,1097075,1
2560147,1087470,1087470,1
2560147,1097058,1097059,1
2560147,1097059,1097059,1
2560147,1052460,1083205,4
2560147,1068701,1011528,1
2560147,8101963,8101971,1
2560147,8234010,8234010,1
2560147,1011171,7107589,4
2560147,8896498,1096418,4
2560147,8898877,1071759,4
2560147,1071652,8898300,4
2560147,1018954,8892492,4
2560147,1087668,8894232,2
2560147,8894232,8892046,4
2560147,8894778,1008218,4
2560147,8890841,8898154,4
2560147,8896084,1011385,4
2560147,8896084,1011385,4
2560147,1011199,8893327,4
2560147,8893328,8893326,2
2560147,8893326,8100782,4
2560147,1087449,8892046,4
2560147,1012992,8894796,4
2560147,1075941,1004968,4
2560147,1067328,1096584,4
2560147,8894584,1069112,4
2560147,1069391,1089194,4
2560147,8893814,8893813,1
2560147,8893148,8893986,4
2560147,5104099,1075952,4
2560147,1075846,8891842,4
2560147,1029602,8898356,4
2560147,8898356,8894549,4
2560147,8898356,8894549,4
2560147,1051852,8105253,4
2560147,8899105,8890487,4
2560147,1077963,1063485,4
2560147,1039147,1040892,4
2560147,1073349,1073356,2
2560147,8891933,1031640,1
2560147,8891898,1086766,2
2560147,8891870,1012755,1
2560147,8891870,1012755,4
2560147,1012755,1010566,1
2560147,1010566,1026323,4
2560147,1026323,1089852,3
2560147,1026393,8894905,2
2560147,1066516,8894737,4
2560147,8897262,8893795,4
2560147,8893459,1069022,4
2560147,1013611,8106178,4
2560147,1071197,1073067,1
2560147,1073069,1094061,1
2560147,1055482,8285600,3
2560147,8285600,1087230,2
2560147,1087230,8892115,4
2560147,1039179,1092348,1
2560147,8893437,8894095,4
2560147,5102056,1088191,4
2560147,8571940,1083219,4
2560147,1083369,7106351,4
2560147,7107105,1031549,4
2560147,8900864,8892491,4
2560147,8892492,1079677,4
2560147,8891819,8643711,4
2560147,1062771,1034601,4
2560147,1034737,1030583,4
2560147,1066279,1094356,1
2560147,1097446,8895119,4
2560147,1026774,1068045,4
2560147,1068086,1020985,4
2560147,8894402,8892492,4
2560147,1087668,8900116,4
2560147,1087668,8900116,4
2560147,7108397,8898524,4
2560147,8898523,8898524,1
2560147,8897234,8897485,4
2560147,1088155,1011552,4
2560147,1011054,1067213,4
2560147,1086121,1089299,4
2560147,1088553,8897894,4
2560147,8898615,1032534,4
2560147,1076137,8899105,4
2560147,8105258,1067786,4
2560147,8891384,1097343,4
2560147,8898153,1078034,4
2560147,1095936,1078109,1
2560147,1078109,8891585,4
2560147,8893272,1088154,4
2560147,1041912,8900518,4
2560147,8892022,8893425,1
2560147,8892022,1059420,4
2560147,1087637,1087639,2
2560147,1096417,8892588,4
2560147,1066985,8894119,4
2560147,1091948,8890492,4
2560147,1002006,7105199,1
2560147,8896040,1020921,4
2560148,,8897530,4
2560148,1082325,1029919,4
2560148,8891859,8376110,4
2560148,1033788,1094522,4
2560148,8894246,8101925,2
2560148,1094521,1094522,2
2560148,8895226,8893068,1
2560148,7107341,7107341,1
2560148,7107341,7107341,2
2560148,7108787,8893068,1
2560148,8893068,8101925,1
2560148,1094521,8893068,2
2560148,8895226,1081034,4
2560148,1081034,1081026,1
2560148,8899321,8896010,4
2560148,1066957,1066992,1
2560148,1066988,1066992,2
2560148,1092820,1034282,4
2560148,1033936,1042441,4
2560148,8892299,8892301,1
2560148,1016375,8893297,4
2560148,8895038,1069373,4
2560148,1089090,8890784,4
2560148,1088498,1095117,4
2560148,1075074,1083075,4
2560148,1069376,1087668,4
2560148,1087668,1068964,4
2560148,8107657,1070907,4
2560148,1094193,8571692,4
2560148,8100807,1048334,4
2560148,8899535,8891069,4
2560148,8897753,1071662,4
2560148,1093601,8897631,2
2560148,1071659,1085477,4
2560148,1068700,1015578,4
2560148,8894134,8900747,4
2560148,1015609,8893499,4
2560148,8890739,7108287,4
2560148,1090492,5104330,4
2560148,1090492,5104330,1
2560148,1068486,8893883,4
2560148,8894334,1025981,4
2560148,1075579,8891104,4
2560148,1014442,1075211,4
2560148,8893520,8896382,4
2560148,1086107,8894613,4
2560148,1080008,8900679,4
2560148,8889323,1037819,4
2560148,1037805,1089085,4
2560148,1011269,8896843,4
