OBU_ID,DESTINATION_LINK_ID,ORIGIN_LINK_ID,CONDITION
1930209,7107204,8895176,4
1930209,8892163,1066991,4
1930209,1068108,1045871,4
1930209,1006666,8100794,4
1930209,1066277,1066277,2
1930209,8891452,8892104,4
1930209,1039472,1036502,4
1930209,1036429,1036626,1
1930209,8894328,1056574,4
1930209,8894226,8894226,4
1930209,1070738,1070654,2
1930209,1070651,1070651,2
1930209,1057386,1093097,1
1930209,1055401,8892789,2
1930209,8894144,1088762,3
1930209,1040447,1079470,4
1930209,8893951,8893951,1
1930209,1057263,1007645,4
1930209,8894392,8898347,4
1930209,1008594,1066553,4
1930209,5104164,1054293,4
1930209,5104164,1054293,4
1930209,8246310,8246210,3
1930209,5102453,5102453,1
1930209,1086943,8178200,4
1930209,1083979,1083970,4
1930209,1088418,1088418,2
1930209,8894440,1033698,3
1930209,1095973,8893658,3
1930209,1060033,1075720,4
1930209,1009023,1009023,1
1930209,8898288,1034633,4
1930209,1034407,1083881,4
1930209,1083881,1052628,4
1930209,8893898,8893897,2
1930209,8893897,1097659,1
1930209,1012202,1012201,3
1930209,1012770,1012769,2
1930209,1080092,1080091,1
1930209,8105894,8107645,1
1930209,1073624,1073629,1
1930209,1073650,1087667,4
1930209,1058007,1057897,2
1930209,1087668,1014469,4
1930209,8893017,8893017,1
1930209,8891085,1012330,4
1930209,1084125,1084126,3
1930209,1069025,1012330,1
1930209,1084125,1084126,3
1930209,1084125,1084126,4
1930209,1069025,1012330,2
1930209,1084125,1084126,3
1930209,1012281,8891957,1
1930209,1048652,1048392,1
1930209,1048652,1048392,4
1930209,1087439,1087439,3
1930209,1087439,1087438,2
1930209,1092601,1092600,2
1930209,8157600,8157500,4
1930209,1038831,1088387,2
1930209,1039180,1039181,3
1930209,8899485,1084359,1
1930209,1011660,1031023,4
1930209,7108862,7108861,2
1930209,8891724,8891871,4
1930209,1090144,8893697,4
1930209,8227200,1067897,4
1930209,8104613,7105302,4
1930209,1052588,1052588,1
1930209,1093215,1060241,1
1930209,1087634,8898042,4
1930209,8898042,8896140,2
1930209,8895126,1010769,4
1930209,1079952,1039204,4
1930209,8895211,8101902,4
1930209,8899128,8290900,2
1930209,8890975,8890975,1
1930209,1094758,1094758,3
1930209,8890997,8895020,4
1930209,1095884,1035992,4
1930209,1036006,8895169,4
1930209,1092825,1080221,4
1930209,8895210,8898347,4
1930209,8890655,8894583,4
1930209,8890655,8894583,4
1930209,1039181,8895175,4
1930209,1058454,8189710,4
1930209,1058454,8189710,2
1930209,1058454,8189710,1
1930209,1058454,8189710,2
1930209,1058454,8189710,2
1930209,1058454,8189710,2
1930209,1058454,8189710,1
1930209,1058454,8189710,2
1930209,8897009,8189710,4
1930209,1011042,1011043,1
1930209,8101971,8189710,2
1930209,8104276,8891855,4
1930210,1075726,7107537,4
1930210,1031498,1031497,4
1930210,1085147,1016650,3
1930210,8897785,8893017,2
1930210,1095956,8894607,3
1930210,8891146,8898042,4
1930210,8896148,1078015,4
1930210,1078928,8104147,4
1930210,8896014,8896009,1
1930210,1096418,1074937,4
1930210,1074894,8896072,4
1930210,8891728,8891728,3
1930210,8571615,1083952,4
1930210,8897170,1093913,4
1930210,1096729,1096729,1
1930210,1037957,8892084,4
1930210,8891864,8891864,2
1930210,1085773,1085773,1
1930210,1047692,1047691,3
1930210,1045916,1074328,2
1930210,1088498,1088499,1
1930210,1015767,8894066,4
1930210,1011678,1068870,1
1930210,8192110,8891123,4
1930210,1017673,1090244,2
1930210,1017565,1018096,3
1930210,1017688,1017687,1
1930210,1017628,8894443,4
1930210,1013102,1013102,2
1930210,1018734,1018735,1
1930210,1087918,1084658,2
1930210,1084115,1084116,4
1930210,8895228,8101962,2
1930210,8114400,8114610,3
1930210,1039180,1039699,4
1930210,8675000,8675010,2
1930210,8892217,8892217,2
1930210,1061734,1088251,3
1930210,1085603,1070557,1
1930210,1070566,1070567,1
1930210,1070571,1073017,3
1930210,8894467,8571712,4
1930210,8894467,8571712,2
1930210,1085786,1085785,3
1930210,1096631,7105289,2
1930210,8892005,8892005,4
1930210,1080395,1080396,3
1930210,1064955,1064980,1
1930210,8571712,8891569,2
1930210,7108669,1005071,4
1930210,1085300,1005165,2
1930210,1004970,1004969,1
1930210,1039680,1039712,2
