Date,Total_Trips,Trips_Over_60km
2020-08-01,76220,12530
2020-08-02,30745,6516
2020-08-03,108005,19908
2020-08-04,113458,21660
2020-08-05,115216,21747
2020-08-06,116876,22328
2020-08-07,121236,22549
2020-08-08,76513,12369
2020-08-09,30332,6334
2020-08-10,126763,23549
2020-08-11,139790,26531
2020-08-12,146823,27716
2020-08-13,152169,28379
2020-08-14,148557,27199
2020-08-15,78250,12897
2020-08-16,34186,6894
2020-08-17,102956,19074
2020-08-18,152961,28251
2020-08-19,155041,30078
2020-08-20,152902,29597
2020-08-21,153150,28599
2020-08-22,92680,16068
2020-08-23,33447,7229
2020-08-24,146419,27410
2020-08-25,150681,29149
2020-08-26,140888,27133
2020-08-27,137109,25776
2020-08-28,152606,28685
2020-08-29,98279,17277
2020-08-30,39299,8285
2020-08-31,144329,27058
2020-09-01,152362,29545
2020-09-02,135729,26356
2020-09-03,130551,24762
2020-09-04,149567,28708
2020-09-05,93151,16738
2020-09-06,33055,7364
2020-09-07,112260,21445
2020-09-08,146605,28263
2020-09-09,148822,29595
2020-09-10,152539,29965
2020-09-11,150731,28765
2020-09-12,93478,16198
2020-09-13,32989,7110
2020-09-14,145023,27525
2020-09-15,162378,30508
2020-09-16,168624,31330
2020-09-17,170268,31949
2020-09-18,170416,31388
2020-09-19,109444,18446
2020-09-20,43304,9504
2020-09-21,166639,30985
2020-09-22,176575,33562
2020-09-23,164789,32941
2020-09-24,160155,32506
2020-09-25,170761,32580
2020-09-26,112451,20471
2020-09-27,44821,9929
2020-09-28,167585,32201
2020-09-29,149327,28050
2020-09-30,55449,9318
2020-10-01,13006,2724
2020-10-02,30635,5704
2020-10-03,47194,8194
2020-10-04,37459,8330
2020-10-05,151586,28072
2020-10-06,169711,33101
2020-10-07,168833,32989
2020-10-08,168594,32699
2020-10-09,114154,21803
2020-10-10,84909,14572
2020-10-11,36176,8145
2020-10-12,159458,30254
2020-10-13,168319,32756
2020-10-14,175530,33629
2020-10-15,184473,35066
2020-10-16,182072,34446
2020-10-17,111032,19395
2020-10-18,41498,9505
2020-10-19,166689,31791
2020-10-20,175744,34213
2020-10-21,169191,33171
2020-10-22,166073,32794
2020-10-23,167294,32031
2020-10-24,106748,18611
2020-10-25,39515,8524
2020-10-26,166359,31963
2020-10-27,173903,33996
2020-10-28,168465,32795
2020-10-29,176714,34237
2020-10-30,150015,29733
2020-10-31,95689,16691
2020-11-01,39857,8818
2020-11-02,159882,30067
2020-11-03,176530,33364
2020-11-04,174409,33126
2020-11-05,173724,33040
2020-11-06,175093,32288
2020-11-07,101469,17474
2020-11-08,37232,8183
2020-11-09,165449,30950
2020-11-10,183185,34404
2020-11-11,180237,33875
2020-11-12,177801,33949
2020-11-13,177807,32871
2020-11-14,104353,18511
2020-11-15,42335,9300
2020-11-16,166569,31586
2020-11-17,179003,34543
2020-11-18,173178,33180
2020-11-19,161849,31199
2020-11-20,161264,30054
2020-11-21,99786,17427
2020-11-22,37022,7874
2020-11-23,163859,29388
2020-11-24,178582,32476
2020-11-25,180860,33309
2020-11-26,182462,33483
2020-11-27,170154,32622
2020-11-28,109435,19754
2020-11-29,49888,10831
2020-11-30,164702,31139
2020-12-01,170971,33136
2020-12-02,163745,31586
2020-12-03,162995,31201
2020-12-04,165207,31842
2020-12-05,97139,17708
2020-12-06,39734,8727
2020-12-07,158673,30239
2020-12-08,170289,33446
2020-12-09,157297,30093
2020-12-10,167024,32708
2020-12-11,167494,32175
2020-12-12,101065,18088
2020-12-13,36978,7969
2020-12-14,136477,24173
2020-12-15,136321,24056
2020-12-16,152423,28367
2020-12-17,164619,31934
2020-12-18,165316,31436
2020-12-19,104283,18572
2020-12-20,44748,9641
2020-12-21,162033,30528
2020-12-22,163019,32214
2020-12-23,146341,29764
2020-12-24,145051,28549
2020-12-25,74240,16275
2020-12-26,69006,13077
2020-12-27,31964,7407
2020-12-28,137154,27253
2020-12-29,146363,30301
2020-12-30,142261,27729
2020-12-31,120160,22833
