LINK_ID,AVG_DAILY_TOTAL_COUNT,MAX_DAILY_TRAFFIC,PERCENTILE
1096722,5.713114754098361,12,0.00
1096723,8.01639344262295,16,0.00
1096728,498.22131147540983,684,0.10
1096729,445.26229508196724,600,0.09
1096730,20.311475409836067,38,0.00
1096731,16.762295081967213,35,0.00
1096732,414.90983606557376,577,0.09
1096733,385.95081967213116,527,0.08
1096734,33.204918032786885,62,0.01
1096735,9.868852459016393,19,0.00
1096736,56.40983606557377,95,0.01
1096737,45.557377049180324,94,0.01
1096740,7.7899159663865545,15,0.00
1096741,6.991525423728813,14,0.00
1096742,5.378151260504202,11,0.00
1096743,4.367521367521367,11,0.00
1096747,11.479338842975206,25,0.00
1096748,13.844262295081966,29,0.00
1096749,2.747826086956522,9,0.00
1096750,11.441666666666666,29,0.00
1096751,12.347457627118644,27,0.00
1096752,18.598360655737704,30,0.00
1096753,13.475409836065573,25,0.00
1096754,19.885245901639344,35,0.00
1096755,19.508196721311474,32,0.00
1096756,27.16393442622951,45,0.01
1096758,16.295081967213115,34,0.00
1096759,11.243697478991596,26,0.00
1096760,8.959016393442623,19,0.00
1096761,7.795081967213115,14,0.00
1096762,1.2121212121212122,2,0.00
1096763,1.0666666666666667,2,0.00
1096764,1.2653061224489797,3,0.00
1096765,1.859375,6,0.00
1096767,11.762295081967213,22,0.00
1096768,11.78688524590164,22,0.00
1096769,12.926229508196721,29,0.00
1096770,12.131147540983607,22,0.00
1096771,2.533333333333333,6,0.00
1096772,12.459016393442623,21,0.00
1096774,1.0769230769230769,2,0.00
1096776,78.37704918032787,139,0.02
1096779,10.553571428571429,20,0.00
1096780,7.049586776859504,20,0.00
1096782,4.1441441441441444,17,0.00
1096783,26.132231404958677,56,0.01
1096784,4.247706422018348,11,0.00
1096787,20.614754098360656,41,0.00
1096788,1.7375,4,0.00
1096793,3.951923076923077,10,0.00
1096801,3.1052631578947367,9,0.00
1096804,1.7721518987341771,5,0.00
1096805,1.7282608695652173,4,0.00
1096806,6.460869565217391,16,0.00
1096809,34.40983606557377,56,0.01
1096810,21.15573770491803,34,0.00
1096811,18.508196721311474,42,0.00
1096813,3.065934065934066,11,0.00
1096814,1.3142857142857143,9,0.00
1096815,5.583333333333333,14,0.00
1096816,5.468468468468468,13,0.00
1096817,31.352459016393443,56,0.01
1096822,1.6133333333333333,4,0.00
1096823,2.918181818181818,8,0.00
1096826,8.826446280991735,21,0.00
1096827,21.483606557377048,41,0.00
1096828,1.0,1,0.00
1096829,1.0,1,0.00
1096832,1.290909090909091,4,0.00
1096834,1.4814814814814814,4,0.00
1096835,1.206896551724138,3,0.00
1096836,1.3114754098360655,3,0.00
1096837,1.8227848101265822,4,0.00
1096838,1.4,2,0.00
1096839,1.1333333333333333,2,0.00
1096840,14.87603305785124,33,0.00
1096842,34.99180327868852,66,0.01
1096846,37.18181818181818,63,0.01
1096847,30.441666666666666,55,0.01
1096852,1.8904109589041096,7,0.00
1096857,1.9230769230769231,5,0.00
1096858,7.5181818181818185,18,0.00
1096859,11.032786885245901,25,0.00
1096860,9.295081967213115,21,0.00
1096861,10.165289256198347,21,0.00
1096862,13.355371900826446,28,0.00
1096863,23.75409836065574,50,0.00
1096865,7.336065573770492,18,0.00
1096866,12.694214876033058,24,0.00
1096867,21.39344262295082,48,0.00
1096868,11.795081967213115,22,0.00
1096869,89.56557377049181,152,0.02
1096870,98.55737704918033,175,0.02
1096871,77.86065573770492,125,0.02
1096872,68.18032786885246,125,0.01
1096873,22.901639344262296,39,0.00
1096882,7.297520661157025,15,0.00
1096883,11.229508196721312,21,0.00
1096884,10.467213114754099,20,0.00
1096885,8.204918032786885,17,0.00
1096886,49.81967213114754,74,0.01
1096887,5.483050847457627,15,0.00
1096888,2.701923076923077,8,0.00
1096889,29.09016393442623,52,0.01
1096890,10.721311475409836,21,0.00
1096891,15.524590163934427,31,0.00
1096892,9.033613445378151,18,0.00
