LINK_ID,AVG_DAILY_TOTAL_COUNT,MAX_DAILY_TRAFFIC,PERCENTILE
1000001,1.3529411764705883,3,0.00
1000002,1.7142857142857142,5,0.00
1000003,6.364406779661017,16,0.00
1000004,2.4175824175824174,7,0.00
1000005,1.0,1,0.00
1000006,1.0,1,0.00
1000007,1.0344827586206897,2,0.00
1000008,1.5522388059701493,4,0.00
1000009,1.0,1,0.00
1000010,1.125,2,0.00
1000012,1.25,2,0.00
1000015,1.1538461538461537,2,0.00
1000016,1.3793103448275863,3,0.00
1000020,1.2,2,0.00
1000022,1.0909090909090908,2,0.00
1000025,1.2307692307692308,2,0.00
1000028,1.3529411764705883,3,0.00
1000031,1.4666666666666666,5,0.00
1000032,1.0526315789473684,2,0.00
1000033,1.2222222222222223,3,0.00
1000034,2.6315789473684212,6,0.00
1000035,1.1346153846153846,2,0.00
1000036,1.0,1,0.00
1000039,1.5,2,0.00
1000040,1.3333333333333333,4,0.00
1000044,1.25,2,0.00
1000046,1.3541666666666667,4,0.00
1000047,1.3,3,0.00
1000049,1.0,1,0.00
1000050,1.0714285714285714,2,0.00
1000052,1.2222222222222223,2,0.00
1000054,1.1333333333333333,2,0.00
1000063,1.0,1,0.00
1000064,1.6111111111111112,4,0.00
1000065,1.2777777777777777,3,0.00
1000066,1.8598130841121496,5,0.00
1000069,2.99009900990099,10,0.00
1000070,5.347107438016529,14,0.00
1000073,1.691358024691358,7,0.00
1000074,1.7792207792207793,7,0.00
1000075,1.8674698795180722,6,0.00
1000076,1.7777777777777777,7,0.00
1000079,2.3596491228070176,6,0.00
1000080,1.247787610619469,3,0.00
1000081,1.2608695652173914,4,0.00
1000082,1.1764705882352942,2,0.00
1000083,9.372881355932204,21,0.00
1000084,14.90983606557377,34,0.00
1000085,3.6083333333333334,12,0.00
1000086,18.62295081967213,37,0.00
1000087,14.868852459016393,34,0.00
1000088,9.163934426229508,19,0.00
1000089,7.735042735042735,16,0.00
1000090,9.147540983606557,19,0.00
1000091,7.818965517241379,17,0.00
1000092,1.0,1,0.00
1000093,7.294117647058823,21,0.00
1000094,5.308333333333334,13,0.00
1000095,8.268907563025211,23,0.00
1000096,1.396551724137931,3,0.00
1000098,1.540983606557377,4,0.00
1000099,1.0,1,0.00
1000100,1.0,1,0.00
1000101,1.0,1,0.00
1000102,1.7721518987341771,5,0.00
1000103,1.25,3,0.00
1000104,1.532258064516129,4,0.00
1000105,1.0,1,0.00
1000106,1.0,1,0.00
1000107,5.53781512605042,17,0.00
1000108,4.078947368421052,13,0.00
1000110,2.169642857142857,5,0.00
1000112,1.3529411764705883,4,0.00
1000114,1.4912280701754386,5,0.00
1000115,1.1111111111111112,2,0.00
1000116,1.2,2,0.00
1000119,1.3571428571428572,4,0.00
1000120,2.650485436893204,8,0.00
1000121,1.0,1,0.00
1000122,1.0714285714285714,3,0.00
1000123,1.3097345132743363,4,0.00
1000124,2.966666666666667,8,0.00
1000126,6.3559322033898304,16,0.00
1000127,5.269565217391304,13,0.00
1000128,7.658333333333333,17,0.00
1000129,2.485981308411215,6,0.00
1000130,3.5213675213675213,9,0.00
1000131,1.1111111111111112,2,0.00
1000132,1.0769230769230769,2,0.00
1000133,1.1666666666666667,2,0.00
1000134,1.1666666666666667,2,0.00
1000139,1.0,1,0.00
1000142,1.0,1,0.00
1000144,1.0,1,0.00
1000145,1.1379310344827587,2,0.00
1000146,1.0,1,0.00
1000149,1.3043478260869565,3,0.00
1000152,1.0,1,0.00
1000153,1.0,1,0.00
1000154,2.121739130434783,6,0.00
1000156,1.206896551724138,5,0.00
1000157,1.105263157894737,2,0.00
1000159,1.0,1,0.00
1000160,1.0,1,0.00
1000161,36.42622950819672,68,0.01
1000162,21.221311475409838,39,0.00
1000163,3.1,9,0.00
1000164,5.235294117647059,12,0.00
1000165,1.0,1,0.00
1000166,1.25,2,0.00
1000167,16.42622950819672,35,0.00
1000169,1.8431372549019607,4,0.00
1000170,1.4479166666666667,4,0.00
1000171,1.0,1,0.00
1000172,2.5294117647058822,7,0.00
1000173,1.2376237623762376,3,0.00
1000174,2.4056603773584904,6,0.00
1000177,1.3333333333333333,4,0.00
1000178,1.0606060606060606,3,0.00
1000179,1.0,1,0.00
1000180,1.8613861386138615,5,0.00
1000182,1.0,1,0.00
1000183,1.588235294117647,5,0.00
1000186,1.8,5,0.00
1000188,1.0833333333333333,2,0.00
1000190,1.0952380952380953,2,0.00
1000191,1.0909090909090908,2,0.00
1000192,1.0909090909090908,2,0.00
1000194,1.12,2,0.00
1000195,1.263157894736842,3,0.00
1000196,1.0,1,0.00
1000197,1.1379310344827587,2,0.00
1000198,1.3076923076923077,3,0.00
1000199,1.2272727272727273,3,0.00
1000202,1.131578947368421,2,0.00
1000207,1.2857142857142858,3,0.00
1000208,2.1714285714285713,11,0.00
1000209,1.288888888888889,3,0.00
1000210,1.0,1,0.00
1000211,2.146067415730337,7,0.00
1000212,2.0,7,0.00
1000213,1.0,1,0.00
1000214,1.125,2,0.00
1000216,1.4074074074074074,3,0.00
1000217,1.0,1,0.00
1000218,1.0,1,0.00
1000219,1.0,1,0.00
1000220,1.0,1,0.00
1000221,1.0,1,0.00
1000222,1.644859813084112,4,0.00
1000223,1.0,1,0.00
1000224,1.1851851851851851,3,0.00
1000226,1.1428571428571428,2,0.00
1000228,1.1578947368421053,3,0.00
1000229,1.0,1,0.00
1000230,7.243697478991597,26,0.00
1000231,5.243697478991597,19,0.00
1000232,1.4035087719298245,4,0.00
1000233,1.0,1,0.00
1000234,1.2790697674418605,3,0.00
1000235,1.2321428571428572,3,0.00
1000238,2.4128440366972477,7,0.00
1000239,2.9217391304347826,7,0.00
1000240,1.0,1,0.00
1000241,1.1538461538461537,2,0.00
1000242,1.360655737704918,4,0.00
1000243,1.163265306122449,2,0.00
1000244,1.25,2,0.00
1000245,1.0769230769230769,2,0.00
1000246,1.0,1,0.00
1000247,1.0,1,0.00
1000248,1.0,1,0.00
1000249,1.0,1,0.00
1000252,4.982300884955753,13,0.00
1000253,1.7179487179487178,5,0.00
1000254,1.0,1,0.00
1000255,2.230769230769231,7,0.00
1000256,1.2857142857142858,3,0.00
1000259,1.2033898305084745,3,0.00
1000260,1.683673469387755,3,0.00
1000263,2.1538461538461537,3,0.00
1000264,1.0,1,0.00
1000265,1.125,2,0.00
1000266,1.0,1,0.00
